Run,Argument_Index,Ground_Truth_Score,Ground_Truth_Binary,Predicted_Label,Predicted_Binary,Error,Normalized_Error,Error_Type
1,0,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,1,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
1,2,3.0,1,Bad,0,2.0,0,bad_to_good
1,3,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
1,7,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,10,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
1,11,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
1,13,3.5,1,Bad,0,2.5,0.25,bad_to_good
1,21,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,22,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,23,4.0,1,Bad,0,3.0,0.5,bad_to_good
1,27,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,29,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,30,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,31,3.5,1,Bad,0,2.5,0.25,bad_to_good
1,33,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,34,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
1,38,2.5,0,Good,1,-2.5,0.25,good_to_bad
1,39,3.0,1,Bad,0,2.0,0,bad_to_good
1,42,3.0,1,Bad,0,2.0,0,bad_to_good
1,43,4.333333333333333,1,Bad,0,3.333333333333333,0.6666666666666665,bad_to_good
1,44,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
1,46,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
1,49,2.0,0,Good,1,-3.0,0.5,good_to_bad
1,50,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,51,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,52,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
1,53,3.0,1,Bad,0,2.0,0,bad_to_good
1,56,3.0,1,Bad,0,2.0,0,bad_to_good
1,57,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,63,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
1,66,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,67,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,70,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
1,75,3.0,1,Bad,0,2.0,0,bad_to_good
1,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,78,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
1,80,3.0,1,Bad,0,2.0,0,bad_to_good
2,2,3.0,1,Bad,0,2.0,0,bad_to_good
2,3,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
2,6,2.0,0,Good,1,-3.0,0.5,good_to_bad
2,7,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
2,10,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
2,13,3.5,1,Bad,0,2.5,0.25,bad_to_good
2,22,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,23,4.0,1,Bad,0,3.0,0.5,bad_to_good
2,29,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,31,3.5,1,Bad,0,2.5,0.25,bad_to_good
2,33,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,34,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
2,38,2.5,0,Good,1,-2.5,0.25,good_to_bad
2,39,3.0,1,Bad,0,2.0,0,bad_to_good
2,41,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,42,3.0,1,Bad,0,2.0,0,bad_to_good
2,43,4.333333333333333,1,Bad,0,3.333333333333333,0.6666666666666665,bad_to_good
2,44,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
2,46,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
2,49,2.0,0,Good,1,-3.0,0.5,good_to_bad
2,50,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,52,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
2,53,3.0,1,Bad,0,2.0,0,bad_to_good
2,56,3.0,1,Bad,0,2.0,0,bad_to_good
2,57,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
2,63,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
2,66,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
2,67,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,70,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
2,75,3.0,1,Bad,0,2.0,0,bad_to_good
2,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
2,78,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
2,80,3.0,1,Bad,0,2.0,0,bad_to_good
3,1,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
3,2,3.0,1,Bad,0,2.0,0,bad_to_good
3,3,2.333333333333333,0,Good,1,-2.666666666666667,0.3333333333333335,good_to_bad
3,7,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
3,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.16666666666666674,good_to_bad
3,10,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
3,11,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
3,13,3.5,1,Bad,0,2.5,0.25,bad_to_good
3,18,3.0,1,Bad,0,2.0,0,bad_to_good
3,21,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
3,22,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
3,23,4.0,1,Bad,0,3.0,0.5,bad_to_good
3,27,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
3,29,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
3,31,3.5,1,Bad,0,2.5,0.25,bad_to_good
3,33,3.333333333333333,1,Bad,0,2.333333333333333,0.16666666666666652,bad_to_good
3,34,3.6666666666666665,1,Bad,0,2.6666666666666665,0.33333333333333326,bad_to_good
3,38,2.5,0,Good,1,-2.5,0.25,good_to_bad
3,39,3.0,1,Bad,0,2.0,0,bad_to_good
